"Kód obce" Obec "Voliči v seznamu" "Vydané obálky" "Platné hlasy" Strana/název Celkem
543543 Hruška 191 90 88 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
543543 Hruška 191 90 88 "Česká str.sociálně demokrat." 1
543543 Hruška 191 90 88 "Radostné Česko" 0
543543 Hruška 191 90 88 "STAROSTOVÉ A NEZÁVISLÍ" 4
543543 Hruška 191 90 88 "Komunistická str.Čech a Moravy" 18
543543 Hruška 191 90 88 "Strana zelených" 0
543543 Hruška 191 90 88 "ROZUMNÍ-stop migraci,diktát.EU" 0
543543 Hruška 191 90 88 "Strana svobodných občanů" 0
543543 Hruška 191 90 88 "Blok proti islam.-Obran.domova" 0
543543 Hruška 191 90 88 "Občanská demokratická aliance" 0
543543 Hruška 191 90 88 "Česká pirátská strana" 4
589560 Hvozd 524 340 336 "Občanská demokratická strana" 16
589560 Hvozd 524 340 336 "Řád národa - Vlastenecká unie" 1
589560 Hvozd 524 340 336 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589560 Hvozd 524 340 336 "Česká str.sociálně demokrat." 34
589560 Hvozd 524 340 336 "Radostné Česko" 0
589560 Hvozd 524 340 336 "STAROSTOVÉ A NEZÁVISLÍ" 14
589560 Hvozd 524 340 336 "Komunistická str.Čech a Moravy" 42
589560 Hvozd 524 340 336 "Strana zelených" 2
589560 Hvozd 524 340 336 "ROZUMNÍ-stop migraci,diktát.EU" 7
589560 Hvozd 524 340 336 "Strana svobodných občanů" 4
589560 Hvozd 524 340 336 "Blok proti islam.-Obran.domova" 0
589560 Hvozd 524 340 336 "Občanská demokratická aliance" 1
589560 Hvozd 524 340 336 "Česká pirátská strana" 30
589578 Ivaň 390 238 237 "Občanská demokratická strana" 32
589578 Ivaň 390 238 237 "Řád národa - Vlastenecká unie" 0
589578 Ivaň 390 238 237 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589578 Ivaň 390 238 237 "Česká str.sociálně demokrat." 7
589578 Ivaň 390 238 237 "Radostné Česko" 0
589578 Ivaň 390 238 237 "STAROSTOVÉ A NEZÁVISLÍ" 1
589578 Ivaň 390 238 237 "Komunistická str.Čech a Moravy" 36
589578 Ivaň 390 238 237 "Strana zelených" 1
589578 Ivaň 390 238 237 "ROZUMNÍ-stop migraci,diktát.EU" 3
589578 Ivaň 390 238 237 "Strana svobodných občanů" 0
589578 Ivaň 390 238 237 "Blok proti islam.-Obran.domova" 0
589578 Ivaň 390 238 237 "Občanská demokratická aliance" 0
589578 Ivaň 390 238 237 "Česká pirátská strana" 15
589586 Jesenec 246 139 139 "Občanská demokratická strana" 6
589586 Jesenec 246 139 139 "Řád národa - Vlastenecká unie" 2
589586 Jesenec 246 139 139 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589586 Jesenec 246 139 139 "Česká str.sociálně demokrat." 9
589586 Jesenec 246 139 139 "Radostné Česko" 0
589586 Jesenec 246 139 139 "STAROSTOVÉ A NEZÁVISLÍ" 4
589586 Jesenec 246 139 139 "Komunistická str.Čech a Moravy" 14
589586 Jesenec 246 139 139 "Strana zelených" 0
589586 Jesenec 246 139 139 "ROZUMNÍ-stop migraci,diktát.EU" 4
589586 Jesenec 246 139 139 "Strana svobodných občanů" 0
589586 Jesenec 246 139 139 "Blok proti islam.-Obran.domova" 0
589586 Jesenec 246 139 139 "Občanská demokratická aliance" 2
589586 Jesenec 246 139 139 "Česká pirátská strana" 5
